contextType,reference,additionalContext,verse,question,answer,grammaticality,acceptability
Epistles,Ephesians 4:30,"Let no corrupt word proceed out of your mouth, but what is good for necessary edification, that it may impart grace to the hearers. And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption. Let all bitterness, wrath, anger, clamor, and evil speaking be put away from you, with all malice.","And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption.","(1pt) According to Ephesians 4:30, what does the Holy Spirit of God do for us?",By whom you were sealed for the day of redemption,5,4
Epistles,Ephesians 4:30,"Let no corrupt word proceed out of your mouth, but what is good for necessary edification, that it may impart grace to the hearers. And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption. Let all bitterness, wrath, anger, clamor, and evil speaking be put away from you, with all malice.","And do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption.","(1pt) According to Ephesians 4:30, you were sealed for what?",The day of redemption,5,5
History,1 Kings 6:38,"In the fourth year the foundation of the house of the LORD was laid, in the month of Ziv. And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","(1pt) According to 1 Kings 6:38, how was the house finished?",In all its details and according to all its plans,5,4
History,1 Kings 6:38,"In the fourth year the foundation of the house of the LORD was laid, in the month of Ziv. And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","(1pt) According to 1 Kings 6:38, when was the house finished?",In the 11th year,5,4
History,1 Kings 6:38,"In the fourth year the foundation of the house of the LORD was laid, in the month of Ziv. And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","(1pt) According to 1 Kings 6:38, how long did it take to build the house of the Lord?",7 years,5,3
History,1 Kings 6:38,"In the fourth year the foundation of the house of the LORD was laid, in the month of Ziv. And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","(1pt) According to 1 Kings 6:38, which month is Bul?",8th,5,5
History,1 Kings 6:38,"In the fourth year the foundation of the house of the LORD was laid, in the month of Ziv. And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","(1pt) According to 1 Kings 6:38, what is the name of the 8th month?",Bul,5,5
History,1 Kings 6:38,"In the fourth year the foundation of the house of the LORD was laid, in the month of Ziv. And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","(1pt) According to 1 Kings 6:38, which year of Solomon's reign did the house of the Lord finish in all its details and according to all its plans?",The 11th,2,4
History,1 Kings 6:38,"In the fourth year the foundation of the house of the LORD was laid, in the month of Ziv. And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","(1pt) According to 1 Kings 6:38, when was the house of the Lord finished?","In the 11th year, in the month of Bul",5,4
History,1 Kings 6:38,"In the fourth year the foundation of the house of the LORD was laid, in the month of Ziv. And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","And in the eleventh year, in the month of Bul, which is the eighth month, the house was finished in all its details and according to all its plans. So he was seven years in building it.","(1pt) According to 1 Kings 6:38, what was finished in the 11th year, in the month of Bul?",The house,5,5
Prophecy,Jeremiah 48:6,"For in the Ascent of Luhith they ascend with continual weeping; For in the descent of Horonaim the enemies have heard a cry of destruction. ""Flee, save your lives! And be like the juniper in the wilderness. For because you have trusted in your works and your treasures, You also shall be taken. And Chemosh shall go forth into captivity, His priests and his princes together.","""Flee, save your lives! And be like the juniper in the wilderness.","(1pt) According to Jeremiah 48:6, the people are told to be like what?",like the juniper in the wilderness,5,5
Prophecy,Jeremiah 48:6,"For in the Ascent of Luhith they ascend with continual weeping; For in the descent of Horonaim the enemies have heard a cry of destruction. ""Flee, save your lives! And be like the juniper in the wilderness. For because you have trusted in your works and your treasures, You also shall be taken. And Chemosh shall go forth into captivity, His priests and his princes together.","""Flee, save your lives! And be like the juniper in the wilderness.","(1pt) According to Jeremiah 48:6, where should the people be like the juniper?",the wilderness,5,3
Prophecy,Jeremiah 48:6,"For in the Ascent of Luhith they ascend with continual weeping; For in the descent of Horonaim the enemies have heard a cry of destruction. ""Flee, save your lives! And be like the juniper in the wilderness. For because you have trusted in your works and your treasures, You also shall be taken. And Chemosh shall go forth into captivity, His priests and his princes together.","""Flee, save your lives! And be like the juniper in the wilderness.","(1pt) According to Jeremiah 48:6, what are the people to do when they flee?",save your lives,5,4
Prophecy,Jeremiah 48:6,"For in the Ascent of Luhith they ascend with continual weeping; For in the descent of Horonaim the enemies have heard a cry of destruction. ""Flee, save your lives! And be like the juniper in the wilderness. For because you have trusted in your works and your treasures, You also shall be taken. And Chemosh shall go forth into captivity, His priests and his princes together.","""Flee, save your lives! And be like the juniper in the wilderness.","(1pt) According to Jeremiah 48:6, what does the Lord say to do?",flee and be like the juniper in the wilderness,5,4
Prophecy,Jeremiah 48:6,"For in the Ascent of Luhith they ascend with continual weeping; For in the descent of Horonaim the enemies have heard a cry of destruction. ""Flee, save your lives! And be like the juniper in the wilderness. For because you have trusted in your works and your treasures, You also shall be taken. And Chemosh shall go forth into captivity, His priests and his princes together.","""Flee, save your lives! And be like the juniper in the wilderness.","(1pt) According to Jeremiah 48:6, what should the people be like in the wilderness?",the juniper,5,5
Prophecy,Jeremiah 48:6,"For in the Ascent of Luhith they ascend with continual weeping; For in the descent of Horonaim the enemies have heard a cry of destruction. ""Flee, save your lives! And be like the juniper in the wilderness. For because you have trusted in your works and your treasures, You also shall be taken. And Chemosh shall go forth into captivity, His priests and his princes together.","""Flee, save your lives! And be like the juniper in the wilderness.","(1pt) According to Jeremiah 48:6, what should the people be like?",juniper in the wilderness,5,4
Prophecy,Jeremiah 48:6,"For in the Ascent of Luhith they ascend with continual weeping; For in the descent of Horonaim the enemies have heard a cry of destruction. ""Flee, save your lives! And be like the juniper in the wilderness. For because you have trusted in your works and your treasures, You also shall be taken. And Chemosh shall go forth into captivity, His priests and his princes together.","""Flee, save your lives! And be like the juniper in the wilderness.","(1pt) According to Jeremiah 48:6, what should the people do to save their lives?",flee,5,5
Prophecy,Malachi 4:6,"Behold, I will send you Elijah the prophet Before the coming of the great and dreadful day of the LORD. And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","(1pt) According to Malachi 4:6, ""He""  will turn the hearts of the children to whom?",Their fathers,5,5
Prophecy,Malachi 4:6,"Behold, I will send you Elijah the prophet Before the coming of the great and dreadful day of the LORD. And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","(1pt) According to Malachi 4:6, the sun of righteousness will turn whose hearts to the children?",The fathers,3,4
Prophecy,Malachi 4:6,"Behold, I will send you Elijah the prophet Before the coming of the great and dreadful day of the LORD. And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","(1pt) According to Malachi 4:6, what will the Lord do if the hearts of the fathers and the children are not turned?",Strike the earth with a curse,5,5
Prophecy,Malachi 4:6,"Behold, I will send you Elijah the prophet Before the coming of the great and dreadful day of the LORD. And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","(1pt) According to Malachi 4:6, what will God strike with a curse if the hearts of the fathers and children are not turned to each other?",The earth,5,5
Prophecy,Malachi 4:6,"Behold, I will send you Elijah the prophet Before the coming of the great and dreadful day of the LORD. And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","(1pt) According to Malachi 4:6, why will he turn the hearts of the fathers to the children and the hearts of the children to their fathers?",Lest I come and strike the earth with a curse,5,5
Prophecy,Malachi 4:6,"Behold, I will send you Elijah the prophet Before the coming of the great and dreadful day of the LORD. And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","(1pt) According to Malachi 4:6, what will the son of the woman turn?",The hearts of the fathers to their children,3,3
Prophecy,Malachi 4:6,"Behold, I will send you Elijah the prophet Before the coming of the great and dreadful day of the LORD. And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","(1pt) According to Malachi 4:6, if the hearts of the fathers and children are not turned, God will come and strike the earth with what?",A curse,5,5
Prophecy,Malachi 4:6,"Behold, I will send you Elijah the prophet Before the coming of the great and dreadful day of the LORD. And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","And he will turn The hearts of the fathers to the children, And the hearts of the children to their fathers, Lest I come and strike the earth with a curse.""","(1pt) According to Malachi 4:6, to whom will the hearts of the fathers turn?",The children,5,4
Gospel,Luke 5:33,"I have not come to call the righteous, but sinners, to repentance."" Then they said to Him, ""Why do the disciples of John fast often and make prayers, and likewise those of the Pharisees, but Yours eat and drink?"" And He said to them, ""Can you make the friends of the bridegroom fast while the bridegroom is with them?","Then they said to Him, ""Why do the disciples of John fast often and make prayers, and likewise those of the Pharisees, but Yours eat and drink?""","(2pts) According to Luke 5:33, what did the scribes and Pharisees say that the disciples of John and the disciples of the Pharisees did?",(1) Fast often (2) Make prayers,5,5
Gospel,Luke 5:33,"I have not come to call the righteous, but sinners, to repentance."" Then they said to Him, ""Why do the disciples of John fast often and make prayers, and likewise those of the Pharisees, but Yours eat and drink?"" And He said to them, ""Can you make the friends of the bridegroom fast while the bridegroom is with them?","Then they said to Him, ""Why do the disciples of John fast often and make prayers, and likewise those of the Pharisees, but Yours eat and drink?""","(2pts) According to Luke 5:33, who did the scribes and Pharisees say fasted and made prayers?",(1) The disciples of John (2) Those of the Pharisees,5,5
Gospel,Luke 5:33,"I have not come to call the righteous, but sinners, to repentance."" Then they said to Him, ""Why do the disciples of John fast often and make prayers, and likewise those of the Pharisees, but Yours eat and drink?"" And He said to them, ""Can you make the friends of the bridegroom fast while the bridegroom is with them?","Then they said to Him, ""Why do the disciples of John fast often and make prayers, and likewise those of the Pharisees, but Yours eat and drink?""","(1pt) According to Luke 5:33, who did the scribes and Pharisees say fasted often and made prayers?",The disciples of John,5,4
Gospel,Luke 5:33,"I have not come to call the righteous, but sinners, to repentance."" Then they said to Him, ""Why do the disciples of John fast often and make prayers, and likewise those of the Pharisees, but Yours eat and drink?"" And He said to them, ""Can you make the friends of the bridegroom fast while the bridegroom is with them?","Then they said to Him, ""Why do the disciples of John fast often and make prayers, and likewise those of the Pharisees, but Yours eat and drink?""","(2pts) According to Luke 5:33, what did the Pharisees say that Jesus and His disciples did?",(1) Eat (2) Drink,5,5
History,Genesis 26:35,"When Esau was forty years old, he took as wives Judith the daughter of Beeri the Hittite, and Basemath the daughter of Elon the Hittite. And they were a grief of mind to Isaac and Rebekah.",And they were a grief of mind to Isaac and Rebekah.,"(1pt) According to Genesis 26:35, Esau taking as wives Judith and Basemath caused Isaac and Rebekah to be what?",A grief of mind,3,4
History,Genesis 26:35,"When Esau was forty years old, he took as wives Judith the daughter of Beeri the Hittite, and Basemath the daughter of Elon the Hittite. And they were a grief of mind to Isaac and Rebekah.",And they were a grief of mind to Isaac and Rebekah.,"(1pt) According to Genesis 26:35, Esau's wives were a grief of mind to whom?",Isaac and Rebekah,5,5
History,Genesis 26:35,"When Esau was forty years old, he took as wives Judith the daughter of Beeri the Hittite, and Basemath the daughter of Elon the Hittite. And they were a grief of mind to Isaac and Rebekah.",And they were a grief of mind to Isaac and Rebekah.,"(1pt) According to Genesis 26:35, what were Esau's two wives to them?",A grief of mind to Isaac and Rebekah,5,4
History,Genesis 26:35,"When Esau was forty years old, he took as wives Judith the daughter of Beeri the Hittite, and Basemath the daughter of Elon the Hittite. And they were a grief of mind to Isaac and Rebekah.",And they were a grief of mind to Isaac and Rebekah.,"(1pt) According to Genesis 26:35, who was grief of mind over Esau's wives?",Rebekah,3,3
History,Genesis 26:35,"When Esau was forty years old, he took as wives Judith the daughter of Beeri the Hittite, and Basemath the daughter of Elon the Hittite. And they were a grief of mind to Isaac and Rebekah.",And they were a grief of mind to Isaac and Rebekah.,"(1pt) According to Genesis 26:35, Esau's wives were a grief of mind to whom?",Isaac,5,4
History,Genesis 26:35,"When Esau was forty years old, he took as wives Judith the daughter of Beeri the Hittite, and Basemath the daughter of Elon the Hittite. And they were a grief of mind to Isaac and Rebekah.",And they were a grief of mind to Isaac and Rebekah.,"(1pt) According to Genesis 26:35, to whom did Esau and his two wives being a grief?",Isaac and Rebekah's mind,3,4
History,Nehemiah 8:4,"Then he read from it in the open square that was in front of the Water Gate from morning until midday, before the men and women and those who could understand; and the ears of all the people were attentive to the Book of the Law. So Ezra the scribe stood on a platform of wood which they had made for the purpose; and beside him, at his right hand, stood Mattithiah, Shema, Anaiah, Urijah, Hilkiah, and Maaseiah; and at his left hand Pedaiah, Mishael, Malchijah, Hashum, Hashbadana, Zechariah, and Meshullam. And Ezra opened the book in the sight of all the people, for he was standing above all the people; and when he opened it, all the people stood up.","So Ezra the scribe stood on a platform of wood which they had made for the purpose; and beside him, at his right hand, stood Mattithiah, Shema, Anaiah, Urijah, Hilkiah, and Maaseiah; and at his left hand Pedaiah, Mishael, Malchijah, Hashum, Hashbadana, Zechariah, and Meshullam.","(1pt) According to Nehemiah 8:4, what did they make for Ezra the scribe to stand on?",A platform of wood,5,5
Epistles,1 Peter 1:2,"Peter, an apostle of Jesus Christ, To the pilgrims of the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia, elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied. Blessed be the God and Father of our Lord Jesus Christ, who according to His abundant mercy has begotten us again to a living hope through the resurrection of Jesus Christ from the dead,","elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied.","(2pts) According to 1 Peter 1:2, what two things are the people who are elect, according to the foreknowledge of God the Father, for?",(1) obedience (2) sprinkling of the blood of Jesus Christ,5,4
Epistles,1 Peter 1:2,"Peter, an apostle of Jesus Christ, To the pilgrims of the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia, elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied. Blessed be the God and Father of our Lord Jesus Christ, who according to His abundant mercy has begotten us again to a living hope through the resurrection of Jesus Christ from the dead,","elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied.","(1pt) According to 1 Peter 1:2, whom are we sanctified by?",the Spirit,5,5
Epistles,1 Peter 1:2,"Peter, an apostle of Jesus Christ, To the pilgrims of the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia, elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied. Blessed be the God and Father of our Lord Jesus Christ, who according to His abundant mercy has begotten us again to a living hope through the resurrection of Jesus Christ from the dead,","elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied.","(2pts) According to 1 Peter 1:2, what does Peter say will be multiplied to the pilgrims of the Dispersion?",(1) grace (2) peace,5,4
Epistles,1 Peter 1:2,"Peter, an apostle of Jesus Christ, To the pilgrims of the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia, elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied. Blessed be the God and Father of our Lord Jesus Christ, who according to His abundant mercy has begotten us again to a living hope through the resurrection of Jesus Christ from the dead,","elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied.","(2pts) According to 1 Peter 1:2, what does Peter wish for the people?",(1) grace (2) peace be multiplied,5,4
Epistles,1 Peter 1:2,"Peter, an apostle of Jesus Christ, To the pilgrims of the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia, elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied. Blessed be the God and Father of our Lord Jesus Christ, who according to His abundant mercy has begotten us again to a living hope through the resurrection of Jesus Christ from the dead,","elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied.","(1pt) According to 1 Peter 1:2, the people whom Peter writes to are elect according to whose foreknowledge?",God the Father,5,5
Epistles,1 Peter 1:2,"Peter, an apostle of Jesus Christ, To the pilgrims of the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia, elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied. Blessed be the God and Father of our Lord Jesus Christ, who according to His abundant mercy has begotten us again to a living hope through the resurrection of Jesus Christ from the dead,","elect according to the foreknowledge of God the Father, in sanctification of the Spirit, for obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied.","(1pt) According to 1 Peter 1:2, the elect are elect according to what?",the foreknowledge of God the Father,5,5
Prophecy,Nahum 3:9,"Are you better than No Amon That was situated by the River, That had the waters around her, Whose rampart was the sea, Whose wall was the sea? Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers. Yet she was carried away, She went into captivity; Her young children also were dashed to pieces At the head of every street; They cast lots for her honorable men, And all her great men were bound in chains.","Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers.","(1pt) According to Nahum 3:9, what was Ethiopia and Egypt to ""the daughter of Babylon""?",Strength,5,3
Prophecy,Nahum 3:9,"Are you better than No Amon That was situated by the River, That had the waters around her, Whose rampart was the sea, Whose wall was the sea? Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers. Yet she was carried away, She went into captivity; Her young children also were dashed to pieces At the head of every street; They cast lots for her honorable men, And all her great men were bound in chains.","Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers.","(2pts) According to Nahum 3:9, what two countries were the strength of the daughter of Babylon?",(1) Ethiopia (2) Egypt,5,4
Prophecy,Nahum 3:9,"Are you better than No Amon That was situated by the River, That had the waters around her, Whose rampart was the sea, Whose wall was the sea? Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers. Yet she was carried away, She went into captivity; Her young children also were dashed to pieces At the head of every street; They cast lots for her honorable men, And all her great men were bound in chains.","Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers.","(1pt) According to Nahum 3:9, who was ""her"" strength?",Ethiopia,5,4
Prophecy,Nahum 3:9,"Are you better than No Amon That was situated by the River, That had the waters around her, Whose rampart was the sea, Whose wall was the sea? Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers. Yet she was carried away, She went into captivity; Her young children also were dashed to pieces At the head of every street; They cast lots for her honorable men, And all her great men were bound in chains.","Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers.","(2pts) According to Nahum 3:9, what nations were ""your"" helpers?",(1) Put (2) Lubim,5,4
Prophecy,Nahum 3:9,"Are you better than No Amon That was situated by the River, That had the waters around her, Whose rampart was the sea, Whose wall was the sea? Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers. Yet she was carried away, She went into captivity; Her young children also were dashed to pieces At the head of every street; They cast lots for her honorable men, And all her great men were bound in chains.","Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers.","(1pt) According to Nahum 3:9, what were Put and Lubim?",Helpers,5,4
Prophecy,Nahum 3:9,"Are you better than No Amon That was situated by the River, That had the waters around her, Whose rampart was the sea, Whose wall was the sea? Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers. Yet she was carried away, She went into captivity; Her young children also were dashed to pieces At the head of every street; They cast lots for her honorable men, And all her great men were bound in chains.","Ethiopia and Egypt were her strength, And it was boundless; Put and Lubim were your helpers.","(1pt) According to Nahum 3:9, Ethiopia and Egypt were her strength. How is it described?",Boundless,5,5
Epistles,Titus 1:6,"For this reason I left you in Crete, that you should set in order the things that are lacking, and appoint elders in every city as I commanded you-- if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination. For a bishop must be blameless, as a steward of God, not self-willed, not quick-tempered, not given to wine, not violent, not greedy for money,","if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination.","(2pts) According to Titus 1:6, a man who is blameless, the husband of one wife, having faithful children, what are they not accused of?",(1) not accused of dissipation or (2) insubordination,5,4
Epistles,Titus 1:6,"For this reason I left you in Crete, that you should set in order the things that are lacking, and appoint elders in every city as I commanded you-- if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination. For a bishop must be blameless, as a steward of God, not self-willed, not quick-tempered, not given to wine, not violent, not greedy for money,","if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination.","(1pt) According to Titus 1:6, what is the man to be, who is to be an overseer?",blameless,5,4
Epistles,Titus 1:6,"For this reason I left you in Crete, that you should set in order the things that are lacking, and appoint elders in every city as I commanded you-- if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination. For a bishop must be blameless, as a steward of God, not self-willed, not quick-tempered, not given to wine, not violent, not greedy for money,","if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination.","(1pt) According to Titus 1:6, a man must be the husband of what?",one wife,5,4
Epistles,Titus 1:6,"For this reason I left you in Crete, that you should set in order the things that are lacking, and appoint elders in every city as I commanded you-- if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination. For a bishop must be blameless, as a steward of God, not self-willed, not quick-tempered, not given to wine, not violent, not greedy for money,","if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination.","(1pt) According to Titus 1:6, what kind of children does a man have to have in order to be qualified to be an overseer?",faithful children,5,4
