contextType,reference,additionalContext,verse,question,answer,grammaticality,acceptability
History,Joshua 14:3,"Their inheritance was by lot, as the LORD had commanded by the hand of Moses, for the nine tribes and the half-tribe. For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them. For the children of Joseph were two tribes: Manasseh and Ephraim. And they gave no part to the Levites in the land, except cities to dwell in, with their common-lands for their livestock and their property.",For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them.,"(1pt) According to Joshua 14:3, what had Moses given an inheritance of to?",The 2 tribes and the half-tribe,4,3
History,Joshua 14:3,"Their inheritance was by lot, as the LORD had commanded by the hand of Moses, for the nine tribes and the half-tribe. For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them. For the children of Joseph were two tribes: Manasseh and Ephraim. And they gave no part to the Levites in the land, except cities to dwell in, with their common-lands for their livestock and their property.",For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them.,"(1pt) According to Joshua 14:3, who had given the inheritance of the 2 tribes and the half-tribe on the other side of the Jordan?",Moses,4,4
History,Joshua 14:3,"Their inheritance was by lot, as the LORD had commanded by the hand of Moses, for the nine tribes and the half-tribe. For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them. For the children of Joseph were two tribes: Manasseh and Ephraim. And they gave no part to the Levites in the land, except cities to dwell in, with their common-lands for their livestock and their property.",For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them.,"(1pt) According to Joshua 14:3, where had Moses given no inheritance?",Among the Levites,4,4
History,Joshua 14:3,"Their inheritance was by lot, as the LORD had commanded by the hand of Moses, for the nine tribes and the half-tribe. For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them. For the children of Joseph were two tribes: Manasseh and Ephraim. And they gave no part to the Levites in the land, except cities to dwell in, with their common-lands for their livestock and their property.",For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them.,"(1pt) According to Joshua 14:3, what did Moses give to the Levites?",The inheritance,5,3
History,Joshua 14:3,"Their inheritance was by lot, as the LORD had commanded by the hand of Moses, for the nine tribes and the half-tribe. For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them. For the children of Joseph were two tribes: Manasseh and Ephraim. And they gave no part to the Levites in the land, except cities to dwell in, with their common-lands for their livestock and their property.",For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them.,"(1pt) According to Joshua 14:3, Moses had given no inheritance among whom?",The Levites,4,4
History,Joshua 14:3,"Their inheritance was by lot, as the LORD had commanded by the hand of Moses, for the nine tribes and the half-tribe. For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them. For the children of Joseph were two tribes: Manasseh and Ephraim. And they gave no part to the Levites in the land, except cities to dwell in, with their common-lands for their livestock and their property.",For Moses had given the inheritance of the two tribes and the half-tribe on the other side of the Jordan; but to the Levites he had given no inheritance among them.,"(1pt) According to Joshua 14:3, where was the inheritance of the 2 tribes and the half-tribe?",On the other side of the Jordan,5,5
History,2 Chronicles 9:10,"And she gave the king one hundred and twenty talents of gold, spices in great abundance, and precious stones; there never were any spices such as those the queen of Sheba gave to King Solomon. Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones. And the king made walkways of the algum wood for the house of the LORD and for the king's house, also harps and stringed instruments for singers; and there were none such as these seen before in the land of Judah.","Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones.","(1pt) According to 2 Chronicles 9:10, who brought gold from Ophir?",The servants of Hiram and the servants of Solomon,5,5
History,2 Chronicles 9:10,"And she gave the king one hundred and twenty talents of gold, spices in great abundance, and precious stones; there never were any spices such as those the queen of Sheba gave to King Solomon. Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones. And the king made walkways of the algum wood for the house of the LORD and for the king's house, also harps and stringed instruments for singers; and there were none such as these seen before in the land of Judah.","Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones.","(1pt) According to 2 Chronicles 9:10, the servants of Hiram and the servants of Solomon brought gold from where?",Ophir,5,5
History,2 Chronicles 9:10,"And she gave the king one hundred and twenty talents of gold, spices in great abundance, and precious stones; there never were any spices such as those the queen of Sheba gave to King Solomon. Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones. And the king made walkways of the algum wood for the house of the LORD and for the king's house, also harps and stringed instruments for singers; and there were none such as these seen before in the land of Judah.","Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones.","(2pts) According to 2 Chronicles 9:10, what did the servants of Hiram and the servants of Solomon bring?",(1) Algum wood (2) Precious stones,4,3
History,2 Chronicles 9:10,"And she gave the king one hundred and twenty talents of gold, spices in great abundance, and precious stones; there never were any spices such as those the queen of Sheba gave to King Solomon. Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones. And the king made walkways of the algum wood for the house of the LORD and for the king's house, also harps and stringed instruments for singers; and there were none such as these seen before in the land of Judah.","Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones.","(3pts) According to 2 Chronicles 9:10, what did the servants of Hiram and the servants of Solomon bring to Solomon?",(1) Gold from Ophir (2) Algum wood (3) Precious stones,4,3
History,2 Chronicles 9:10,"And she gave the king one hundred and twenty talents of gold, spices in great abundance, and precious stones; there never were any spices such as those the queen of Sheba gave to King Solomon. Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones. And the king made walkways of the algum wood for the house of the LORD and for the king's house, also harps and stringed instruments for singers; and there were none such as these seen before in the land of Judah.","Also, the servants of Hiram and the servants of Solomon, who brought gold from Ophir, brought algum wood and precious stones.","(1pt) According to 2 Chronicles 9:10, who were the servants of?",Hiram and Solomon,3,4
Epistles,Philippians 2:13,"Therefore, my beloved, as you have always obeyed, not as in my presence only, but now much more in my absence, work out your own salvation with fear and trembling; for it is God who works in you both to will and to do for His good pleasure. Do all things without complaining and disputing,",for it is God who works in you both to will and to do for His good pleasure.,"(1pt) According to Philippians 2:13, it is God who works in you both to will and to do for what?",His good pleasure,5,5
Epistles,Philippians 2:13,"Therefore, my beloved, as you have always obeyed, not as in my presence only, but now much more in my absence, work out your own salvation with fear and trembling; for it is God who works in you both to will and to do for His good pleasure. Do all things without complaining and disputing,",for it is God who works in you both to will and to do for His good pleasure.,"(1pt) According to Philippians 2:13, who works in you both to will and to do for His good pleasure?",God,5,5
Epistles,Philippians 2:13,"Therefore, my beloved, as you have always obeyed, not as in my presence only, but now much more in my absence, work out your own salvation with fear and trembling; for it is God who works in you both to will and to do for His good pleasure. Do all things without complaining and disputing,",for it is God who works in you both to will and to do for His good pleasure.,"(1pt) According to Philippians 2:13, what does Paul say is the reason you can do what God wants?",God works in you,5,3
Epistles,Philippians 2:13,"Therefore, my beloved, as you have always obeyed, not as in my presence only, but now much more in my absence, work out your own salvation with fear and trembling; for it is God who works in you both to will and to do for His good pleasure. Do all things without complaining and disputing,",for it is God who works in you both to will and to do for His good pleasure.,"(1pt) According to Philippians 2:13, how does God work in you?",both to will and to do for His good pleasure,3,3
Poetry,Song of Solomon 4:10,"You have ravished my heart, My sister, my spouse; You have ravished my heart With one look of your eyes, With one link of your necklace. How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices! Your lips, O my spouse, Drip as the honeycomb; Honey and milk are under your tongue; And the fragrance of your garments Is like the fragrance of Lebanon.","How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices!","(1pt) According to Song of Solomon 4:10, what is ""fair""?",Your love,4,4
Poetry,Song of Solomon 4:10,"You have ravished my heart, My sister, my spouse; You have ravished my heart With one look of your eyes, With one link of your necklace. How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices! Your lips, O my spouse, Drip as the honeycomb; Honey and milk are under your tongue; And the fragrance of your garments Is like the fragrance of Lebanon.","How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices!","(2pts) According to Song of Solomon 4:10, the Lord says that the scent of ""your""  perfumes is better than what?",(1) All spices (2) Wine,4,4
Poetry,Song of Solomon 4:10,"You have ravished my heart, My sister, my spouse; You have ravished my heart With one look of your eyes, With one link of your necklace. How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices! Your lips, O my spouse, Drip as the honeycomb; Honey and milk are under your tongue; And the fragrance of your garments Is like the fragrance of Lebanon.","How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices!","(1pt) According to Song of Solomon 4:10, what does Solomon refer to the Shulamite as being?","My sister, my spouse",5,3
Poetry,Song of Solomon 4:10,"You have ravished my heart, My sister, my spouse; You have ravished my heart With one look of your eyes, With one link of your necklace. How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices! Your lips, O my spouse, Drip as the honeycomb; Honey and milk are under your tongue; And the fragrance of your garments Is like the fragrance of Lebanon.","How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices!","(1pt) According to Song of Solomon 4:10, what is better than all spices?",The scent of her perfumes,5,5
Poetry,Song of Solomon 4:10,"You have ravished my heart, My sister, my spouse; You have ravished my heart With one look of your eyes, With one link of your necklace. How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices! Your lips, O my spouse, Drip as the honeycomb; Honey and milk are under your tongue; And the fragrance of your garments Is like the fragrance of Lebanon.","How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices!","(1pt) According to Song of Solomon 4:10, what does Solomon say is better than all spices?",Your perfumes,5,4
Poetry,Song of Solomon 4:10,"You have ravished my heart, My sister, my spouse; You have ravished my heart With one look of your eyes, With one link of your necklace. How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices! Your lips, O my spouse, Drip as the honeycomb; Honey and milk are under your tongue; And the fragrance of your garments Is like the fragrance of Lebanon.","How fair is your love, My sister, my spouse! How much better than wine is your love, And the scent of your perfumes Than all spices!","(1pt) According to Song of Solomon 4:10, the Lord says that ""your""  love is much better than what?",Wine,5,5
Epistles,1 John 1:4,"that which we have seen and heard we declare to you, that you also may have fellowship with us; and truly our fellowship is with the Father and with His Son Jesus Christ. And these things we write to you that your joy may be full. This is the message which we have heard from Him and declare to you, that God is light and in Him is no darkness at all.",And these things we write to you that your joy may be full.,"(1pt) According to 1 John 1:4, what does John write to the readers?",These things,5,5
Epistles,1 John 1:4,"that which we have seen and heard we declare to you, that you also may have fellowship with us; and truly our fellowship is with the Father and with His Son Jesus Christ. And these things we write to you that your joy may be full. This is the message which we have heard from Him and declare to you, that God is light and in Him is no darkness at all.",And these things we write to you that your joy may be full.,"(1pt) According to 1 John 1:4, what is the message which we have heard from Him and declare to you?",The things we write to you,5,2
Epistles,1 John 1:4,"that which we have seen and heard we declare to you, that you also may have fellowship with us; and truly our fellowship is with the Father and with His Son Jesus Christ. And these things we write to you that your joy may be full. This is the message which we have heard from Him and declare to you, that God is light and in Him is no darkness at all.",And these things we write to you that your joy may be full.,"(2pts) According to 1 John 1:4, to whom does John write these things?",(1) Your joy may be full (2) To you,5,4
Epistles,1 John 1:4,"that which we have seen and heard we declare to you, that you also may have fellowship with us; and truly our fellowship is with the Father and with His Son Jesus Christ. And these things we write to you that your joy may be full. This is the message which we have heard from Him and declare to you, that God is light and in Him is no darkness at all.",And these things we write to you that your joy may be full.,"(1pt) According to 1 John 1:4, what does John say is the message that they heard from Him and declare to you?",The things we write to you that your joy may be full,4,2
Epistles,1 John 1:4,"that which we have seen and heard we declare to you, that you also may have fellowship with us; and truly our fellowship is with the Father and with His Son Jesus Christ. And these things we write to you that your joy may be full. This is the message which we have heard from Him and declare to you, that God is light and in Him is no darkness at all.",And these things we write to you that your joy may be full.,"(1pt) According to 1 John 1:4, John wrote to the beloved that their joy may be what?",Full,5,4
Epistles,1 John 1:4,"that which we have seen and heard we declare to you, that you also may have fellowship with us; and truly our fellowship is with the Father and with His Son Jesus Christ. And these things we write to you that your joy may be full. This is the message which we have heard from Him and declare to you, that God is light and in Him is no darkness at all.",And these things we write to you that your joy may be full.,"(1pt) According to 1 John 1:4, 5, 6, 7, 8, 9, 10, what does the message declare will be full?",Your joy,3,4
Epistles,1 John 1:4,"that which we have seen and heard we declare to you, that you also may have fellowship with us; and truly our fellowship is with the Father and with His Son Jesus Christ. And these things we write to you that your joy may be full. This is the message which we have heard from Him and declare to you, that God is light and in Him is no darkness at all.",And these things we write to you that your joy may be full.,"(1pt) According to 1 John 1:4, what does John write to the believers to make full?",Joy,4,4
Prophecy,Hosea 3:5,"For the children of Israel shall abide many days without king or prince, without sacrifice or sacred pillar, without ephod or teraphim. Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.",Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.,"(1pt) According to Hosea 3:5, when shall the children of Israel fear the Lord and His goodness?",The latter days,5,5
Prophecy,Hosea 3:5,"For the children of Israel shall abide many days without king or prince, without sacrifice or sacred pillar, without ephod or teraphim. Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.",Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.,"(1pt) According to Hosea 3:5, who will the children of Israel seek afterward?",The Lord,5,4
Prophecy,Hosea 3:5,"For the children of Israel shall abide many days without king or prince, without sacrifice or sacred pillar, without ephod or teraphim. Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.",Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.,"(1pt) According to Hosea 3:5, after the children of Israel return and seek the Lord their God, who will they seek?",David their king,5,4
Prophecy,Hosea 3:5,"For the children of Israel shall abide many days without king or prince, without sacrifice or sacred pillar, without ephod or teraphim. Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.",Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.,"(2pts) According to Hosea 3:5, afterward, the children of Israel shall return and seek whom?",(1) The Lord their God (2) David their king,5,5
Prophecy,Hosea 3:5,"For the children of Israel shall abide many days without king or prince, without sacrifice or sacred pillar, without ephod or teraphim. Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.",Afterward the children of Israel shall return and seek the LORD their God and David their king. They shall fear the LORD and His goodness in the latter days.,"(2pts) According to Hosea 3:5, after the children of Israel return and seek the Lord their God and David their king, what shall they fear?",(1) The Lord and (2) His goodness,5,5
Epistles,2 Corinthians 8:7,"So we urged Titus, that as he had begun, so he would also complete this grace in you as well. But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also. I speak not by commandment, but I am testing the sincerity of your love by the diligence of others.","But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also.","(1pt) According to 2 Corinthians 8:7, Paul says that the Corinthians should see that they abound in grace, as they abound in what?",in everything,5,4
Epistles,2 Corinthians 8:7,"So we urged Titus, that as he had begun, so he would also complete this grace in you as well. But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also. I speak not by commandment, but I am testing the sincerity of your love by the diligence of others.","But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also.","(1pt) According to 2 Corinthians 8:7, Paul wants the Corinthians to see that they abound in what?",grace,5,5
Epistles,2 Corinthians 8:7,"So we urged Titus, that as he had begun, so he would also complete this grace in you as well. But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also. I speak not by commandment, but I am testing the sincerity of your love by the diligence of others.","But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also.","(1pt) According to 2 Corinthians 8:7, Paul wants the Corinthians to see that they do what in this grace also?",abound,5,5
Epistles,2 Corinthians 8:7,"So we urged Titus, that as he had begun, so he would also complete this grace in you as well. But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also. I speak not by commandment, but I am testing the sincerity of your love by the diligence of others.","But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also.","(1pt) According to 2 Corinthians 8:7, Paul wants the Corinthians to see that they abound in what?",in this grace,5,4
Epistles,2 Corinthians 8:7,"So we urged Titus, that as he had begun, so he would also complete this grace in you as well. But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also. I speak not by commandment, but I am testing the sincerity of your love by the diligence of others.","But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also.","(1pt) According to 2 Corinthians 8:7, Paul wants the Corinthians to abound in grace also. He says that they are already abounding in what?",in your love for us,4,3
Epistles,2 Corinthians 8:7,"So we urged Titus, that as he had begun, so he would also complete this grace in you as well. But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also. I speak not by commandment, but I am testing the sincerity of your love by the diligence of others.","But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also.","(5pts) According to 2 Corinthians 8:7, Paul tells the Corinthians to see that they abound in ""this grace"" also. What does he say they abound in?",(1) in faith (2) in speech (3) in knowledge (4) in all diligence (5) and in your love for us,4,4
Epistles,2 Corinthians 8:7,"So we urged Titus, that as he had begun, so he would also complete this grace in you as well. But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also. I speak not by commandment, but I am testing the sincerity of your love by the diligence of others.","But as you abound in everything--in faith, in speech, in knowledge, in all diligence, and in your love for us--see that you abound in this grace also.","(1pt) According to 2 Corinthians 8:7, Paul says to see that the Corinthians abound in this grace also, in what?",in all diligence,4,4
Epistles,1 Peter 4:3,"that he no longer should live the rest of his time in the flesh for the lusts of men, but for the will of God. For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries. In regard to these, they think it strange that you do not run with them in the same flood of dissipation, speaking evil of you.","For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries.","(1pt) According to 1 Peter 4:3, when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, what else did we do?",abominable idolatries,5,4
Epistles,1 Peter 4:3,"that he no longer should live the rest of his time in the flesh for the lusts of men, but for the will of God. For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries. In regard to these, they think it strange that you do not run with them in the same flood of dissipation, speaking evil of you.","For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries.","(6pts) According to 1 Peter 4:3, when we walked in what things, did we do the will of the Gentiles?","(1) lewdness, (2) lusts, (3) drunkenness, (4) revelries, (5) drinking parties, (6) abominable idolatries",4,4
Epistles,1 Peter 4:3,"that he no longer should live the rest of his time in the flesh for the lusts of men, but for the will of God. For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries. In regard to these, they think it strange that you do not run with them in the same flood of dissipation, speaking evil of you.","For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries.","(1pt) According to 1 Peter 4:3, how have we spent our past lifetime?",in doing the will of the Gentiles,4,5
Epistles,1 Peter 4:3,"that he no longer should live the rest of his time in the flesh for the lusts of men, but for the will of God. For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries. In regard to these, they think it strange that you do not run with them in the same flood of dissipation, speaking evil of you.","For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries.","(1pt) According to 1 Peter 4:3, we have spent enough of our past lifetime doing whose will?",the Gentiles,5,5
Epistles,1 Peter 4:3,"that he no longer should live the rest of his time in the flesh for the lusts of men, but for the will of God. For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries. In regard to these, they think it strange that you do not run with them in the same flood of dissipation, speaking evil of you.","For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries.","(1pt) According to 1 Peter 4:3, how much time have we spent doing the will of the Gentiles?",enough of our past lifetime,5,5
Epistles,1 Peter 4:3,"that he no longer should live the rest of his time in the flesh for the lusts of men, but for the will of God. For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries. In regard to these, they think it strange that you do not run with them in the same flood of dissipation, speaking evil of you.","For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries.","(1pt) According to 1 Peter 4:3, how much time have we spent doing the will of the Gentiles?",our past lifetime,5,4
