Type,Question,Answer,NumberPoints,StartBook,StartChapter,StartVerse,EndBook,EndChapter,EndVerse
bible-qna,What were the drinks served in?,golden vessels,1,Esther,1,7,Esther,1,7
bible-qna,What was served in golden vessels?,drinks,1,Esther,1,7,Esther,1,7
bible-qna,What was there in abundance?,royal wine,1,Esther,1,7,Esther,1,7
bible-qna,What was not compulsory?,the drinking,1,Esther,1,8,Esther,1,8
bible-qna,Why was the drinking not compulsory?,in accordance with the law,1,Esther,1,8,Esther,1,8
bible-qna,What was done according to the law?,the drinking was not cumpulsory,1,Esther,1,8,Esther,1,8
bible-qna,What had the king ordered all the officers of his household?,that they should do according to each man's pleasure,1,Esther,1,8,Esther,1,8
bible-qna,Who had the king ordered that they should do according to each man's pleasure?,all the officers of his household,1,Esther,1,8,Esther,1,8
bible-qna,What was not compulsory?,the drinking,1,Esther,1,8,Esther,1,8
bible-qna,For whom did Queen Vashti make a feast?,the women,1,Esther,1,9,Esther,1,9
bible-qna,Where was Queen Vashti's feast held?,in the royal palace which belonged to King Ahasuerus,1,Esther,1,9,Esther,1,9
bible-qna,To whom did the royal palace belong?,King Ahasuerus,1,Esther,1,9,Esther,1,9
bible-qna,Where did Queen Vashti make a feast for the women?,In the royal palace which belonged to King Ahasuerus,1,Esther,1,9,Esther,1,9
bible-qna,Who also made a feast?,Vashti,1,Esther,1,9,Esther,1,9
bible-qna,What did Vashti make?,a feast,1,Esther,1,9,Esther,1,9
bible-qna,What belonged to King Ahasuerus?,the royal palace,1,Esther,1,9,Esther,1,9
bible-qna,On which day was the king's heart merry with wine?,7th day,1,Esther,1,10,Esther,1,10
bible-qna,How was the king's heart on the 7th day?,merry with wine,1,Esther,1,10,Esther,1,10
bible-qna,"What was the job of Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, and Carcas?",eunuchs who served in the presence of the king,1,Esther,1,10,Esther,1,10
bible-qna,What was the heart of the king?,merry with wine,1,Esther,1,10,Esther,1,10
bible-qna,What was Queen Vashti to wear when whe would be brought before the king?,her royal crown,1,Esther,1,11,Esther,1,11
bible-qna,Who was to wear her royal crown when brought before the king?,Queen Vashti,1,Esther,1,11,Esther,1,11
bible-qna,Why was Queen Vashti to be brought before the king?,in order to show her beauty to the people and the officials,1,Esther,1,11,Esther,1,11
bible-qna,Who was beautiful to behold?,Queen Vashti,1,Esther,1,11,Esther,1,11
bible-qna,What was Queen Vashti supposed to be wearing?,her royal crown,1,Esther,1,11,Esther,1,11
bible-qna,Who refused to come at the king's command?,Queen Vashti,1,Esther,1,12,Esther,1,12
bible-qna,Who brought the command that Queen Vashti refused to follow?,the king's eunuchs,1,Esther,1,12,Esther,1,12
bible-qna,Whose command did Queen Vashti refuse to follow?,the king's,1,Esther,1,12,Esther,1,12
bible-qna,Why was the king furious with his anger burning within him?,Queen Vashti has refused to come at his command,1,Esther,1,12,Esther,1,12
bible-qna,What was the king?,furious,1,Esther,1,12,Esther,1,12
bible-qna,What burned within him?,anger,1,Esther,1,12,Esther,1,12
bible-qna,What did the wise men understand?,the time,1,Esther,1,13,Esther,1,13
bible-qna,Who understood the times?,the wise men,1,Esther,1,13,Esther,1,13
bible-qna,Who had access to the king's presence and ranked highest in the kingdom?,the 7 princes of Persia and Media,1,Esther,1,13,Esther,1,13
bible-qna,Who did the king speak to?,the wise men,1,Esther,1,13,Esther,1,13
bible-qna,Who spoke to the wise men?,the king,1,Esther,1,13,Esther,1,13
bible-qna,What could the wise men do?,understand the times,1,Esther,1,13,Esther,1,13
bible-qna,Who could understand the times?,the wise men,1,Esther,1,13,Esther,1,13
bible-qna,Who were the seven princes of Persia and Media?,"Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, and Memucan",1,Esther,1,14,Esther,1,14
bible-qna,What did the seven princes have access to?,the king's presence,1,Esther,1,14,Esther,1,14
bible-qna,Where did they rank in the kingdom?,highest,1,Esther,1,14,Esther,1,14
bible-qna,What question did the king ask of the 7 princes of Persia and Media?,"""What shall we do to Queen Vashti, according to the law, because she did not obey the command of King Ahasuerus brought to her by the eunuchs?",1,Esther,1,15,Esther,1,14
bible-qna,"Who told the king that Queen Vashti had not only wronged the king, but also all the princes, and all the people who are in all the provinces?",Memucan,1,Esther,1,16,Esther,1,16
bible-qna,Who answered before the king and princes?,Memucan,1,Esther,1,16,Esther,1,16
bible-qna,To whom will the queen's behavior become known?,all women,1,Esther,1,17,Esther,1,17
bible-qna,What will become known to all women?,the queen's behavior,1,Esther,1,17,Esther,1,17
bible-qna,What will all women do once the queen's behavior has become known to them?,they will despise their husbands in their eyes,1,Esther,1,17,Esther,1,17
bible-qna,All women will despise their husbands in their eyes when they report what?,"""King Ahasuerus commanded Queen Vashti be brought in before him, but she did not come""",1,Esther,1,17,Esther,1,17
bible-qna,Whose behavior will become known to all women?,the queen's,1,Esther,1,17,Esther,1,17
bible-qna,What will become known to all women?,the queen's behavior,1,Esther,1,17,Esther,1,17
bible-qna,In what will they despise their husbands?,their eyes,1,Esther,1,17,Esther,1,17
bible-qna,Who will they despise in their eyes?,their husbands,1,Esther,1,17,Esther,1,17
bible-qna,What did she not do?,come,1,Esther,1,17,Esther,1,17
bible-qna,Who commanded Queen Vashti?,King Ahasuerus,1,Esther,1,17,Esther,1,17
bible-qna,Who was commanded?,Queen Vashti,1,Esther,1,17,Esther,1,17
bible-qna,On which day will the noble ladies of Persia and Media say to all the king's officials that they have heard of the behavior of the queen?,this very day,1,Esther,1,18,Esther,1,18
bible-qna,To whom will the noble ladies of Persia and Media say that they have heard of the behavior of the queen?,all the king's officials,1,Esther,1,18,Esther,1,18
bible-qna,How much contempt and wrath will there be?,excessive,1,Esther,1,18,Esther,1,18
bible-qna,Whose behavior will they say that they have heard of?,the queen's,1,Esther,1,18,Esther,1,18
bible-qna,Where should the royal decree be recorded?,in the laws of the Persians and the Medes,1,Esther,1,19,Esther,1,19
bible-qna,What should be recorded in the law of the Persians and the Medes?,a royal decree,1,Esther,1,19,Esther,1,19
bible-qna,Why should the royal decree be recorded in the laws of the Persians and the Medes?,so that it will not be altered,1,Esther,1,19,Esther,1,19
bible-qna,What should the royal decree say about Vashti?,she shall come no more before King Ahasuerus,1,Esther,1,19,Esther,1,19
bible-qna,Who should come no more before King Ahasuerus?,Vashti,1,Esther,1,19,Esther,1,19
bible-qna,To whom should Vashti's royal position be given?,to another who is better than she,1,Esther,1,19,Esther,1,19
bible-qna,What should be given to another who is better than Vashti?,her royal position,1,Esther,1,19,Esther,1,19
bible-qna,What should go out from him?,a royal decree,1,Esther,1,19,Esther,1,19
bible-qna,Who shall come no more before King Ahasuerus?,Vashti,1,Esther,1,19,Esther,1,19
bible-qna,Before whom shall Vashti come no more?,King Ahasuerus,1,Esther,1,19,Esther,1,19
bible-qna,What should the king give to another that is better than she?,her royal position,1,Esther,1,19,Esther,1,19
bible-qna,"What was to go out from the king?
(Be specific)",A royal decree,1,Esther,1,19,Esther,1,19
bible-qna,What will happen when the king's decree is proclaimed thorughout all his empire?,all wives will honor their husbands,1,Esther,1,20,Esther,1,20
bible-qna,Which wives will honor their husbands when the king's decree is proclaimed throughout all his empire? (be specific),"all, both great and small",1,Esther,1,20,Esther,1,20
bible-qna,What is great?,his empire,1,Esther,1,20,Esther,1,20
bible-qna,Who will honor their husbands?,all wives,1,Esther,1,20,Esther,1,20
bible-qna,Whose words did the king do according to?,Memucan's,1,Esther,1,21,Esther,1,21
bible-qna,What did the king do in response to the word of Memucan?,did according to the word,1,Esther,1,21,Esther,1,21
bible-qna,What pleased the king and the princes?,the reply,1,Esther,1,21,Esther,1,21
bible-qna,What did the letters say that each man should do?,be master in his own house; speak in the language of his own people,1,Esther,1,22,Esther,1,22
bible-qna,Where should each man be master?,in his own house,1,Esther,1,22,Esther,1,22
bible-qna,How should each man speak?,in the language of his own people,1,Esther,1,22,Esther,1,22
bible-qna,Where were letters sent?,to all the king's provinces,1,Esther,1,22,Esther,1,22
bible-qna,In what script were the letters sent?,to each province in its own script,1,Esther,1,22,Esther,1,22
bible-qna,In what language were the letters sent?,to every people in their own language,1,Esther,1,22,Esther,1,22
bible-qna,Who should be master in his own house?,each man,1,Esther,1,22,Esther,1,22
bible-qna,Who should speak in the language of his own people?,each man,1,Esther,1,22,Esther,1,22
bible-qna,How did King Ahasuerus feel about the suggestion that young virgins be sought for him? (Be specific),this thing pleased the king,1,Esther,2,1,Esther,2,4
bible-qna,"Who suggested, ""Let beautiful young virgins be sought for the king""?",the king's servants who attended him,1,Esther,2,2,Esther,2,2
bible-qna,Who or what did the king's servants suggest should be sought for the king?,beautiful young virgins,1,Esther,2,2,Esther,2,2
bible-qna,Who should be sought for the king?,beautiful young virgins,1,Esther,2,2,Esther,2,2
bible-qna,Who should gather all the beautiful young virgins?,the appointed officers,1,Esther,2,3,Esther,2,3
bible-qna,Where should the officers be appointed?,in all the provinces of King Ahasuerus' kingdom,1,Esther,2,3,Esther,2,3
bible-qna,Who should appoint officers in all the provinces of the kingdom?,the king,1,Esther,2,3,Esther,2,3
bible-qna,Under whose custody should the young virgins be placed?,Hegai,1,Esther,2,3,Esther,2,3
bible-qna,To what location should the young virgins be taken?,"Shushan the citadel, into the women's quarters",1,Esther,2,3,Esther,2,3
bible-qna,What should be given to the young virgins?,beauty preparations,1,Esther,2,3,Esther,2,3
bible-qna,What should be given them?,beauty preparations,1,Esther,2,3,Esther,2,3
bible-qna,Who should be made queen instead of Vashti?,the young woman who pleases the king,1,Esther,2,4,Esther,2,4
bible-qna,What should be done for the young woman who pleases the king?,be queen instead of Vashti,1,Esther,2,4,Esther,2,4
bible-qna,Who would the young woman be replacing as queen?,Vashti,1,Esther,2,4,Esther,2,4
bible-qna,"Because this thing pleased the king, what did he do?",he did so,1,Esther,2,4,Esther,2,4
bible-qna,Who was the son of Jair?,Mordecai,1,Esther,2,5,Esther,2,5
bible-qna,Who was Mordecai's father?,Jair,1,Esther,2,5,Esther,2,5
bible-qna,Who was Jair's father?,Shimei,1,Esther,2,5,Esther,2,5
bible-qna,Who was the son of Shimei,Jair,1,Esther,2,5,Esther,2,5
bible-qna,Who was Shimei's father?,Kish,1,Esther,2,5,Esther,2,5
bible-qna,Who was the son of Kish?,Shimei,1,Esther,2,5,Esther,2,5
bible-qna,"From what tribe were Mordecai, Jair, Shimei, and Kish?",Benjamin (a Benjamite),1,Esther,2,5,Esther,2,5
bible-qna,Where did Mordecai live?,Shushan the citadel,1,Esther,2,5,Esther,2,5
bible-qna,What city was the citadel?,Shushan,1,Esther,2,5,Esther,2,5
bible-qna,What was Shushan?,the citadel,1,Esther,2,5,Esther,2,5
bible-qna,Who was Mordecai's grandfather?,Shimei,1,Esther,2,5,Esther,2,5
bible-qna,Who was Mordecai's great grandfather?,Kish,1,Esther,2,5,Esther,2,5
bible-qna,Who was Shimei's grandson?,Mordecai,1,Esther,2,5,Esther,2,5
bible-qna,Who was Kish's great grandson?,Mordecai,1,Esther,2,5,Esther,2,5
bible-qna,Who was Jair's grandfather?,Kish,1,Esther,2,5,Esther,2,5
bible-qna,Who was Kish's grandson?,Jair,1,Esther,2,5,Esther,2,5
bible-qna,Who had been carried away from Jerusalem with the captives who had been captured with Jeconiah king of Judah?,Kish,1,Esther,2,6,Esther,2,6
bible-qna,What had happened to Kish?,he had been carried away from Jerusalem with the captives,1,Esther,2,6,Esther,2,6
bible-qna,Who had the captives that were carried away from Jerusalem been captured with?,Jeconiah king of Judah,1,Esther,2,6,Esther,2,6
bible-qna,Who carried away Jeconiah king of Judah?,Nebuchadnezzar (the king of Babylon),1,Esther,2,6,Esther,2,6
bible-qna,What did Nebuchadnezzar do with Jeconiah king of Judah?,carried him away from Jerusalem,1,Esther,2,6,Esther,2,6
bible-qna,Who had brought up Hadassah?,Mordecai,1,Esther,2,7,Esther,2,7
bible-qna,Who did Mordecai bring up?,Hadassah,1,Esther,2,7,Esther,2,7
bible-qna,What relation was Mordecai to Hadassah?,Cousin,1,Esther,2,7,Esther,2,7
bible-qna,What relation was Hadassah to Mordecai?,his uncle's daughter (cousin),1,Esther,2,7,Esther,2,7
bible-qna,What was Hadassah's other name?,Esther,1,Esther,2,7,Esther,2,7
bible-qna,What was Esther's other name?,Hadassah,1,Esther,2,7,Esther,2,7
bible-qna,Why did Mordecai bring up Hadassah?,she had neither father nor mother (her parents had died),1,Esther,2,7,Esther,2,7
bible-qna,When did Mordecai take Hadassah as his own daughter?,when her father and mother died,1,Esther,2,7,Esther,2,7
bible-qna,Who had neither father nor mother?,Hadassah (Esther),1,Esther,2,7,Esther,2,7
bible-qna,Who was lovely and beautiful?,"1) The young woman (Hadassah, Esther)",1,Esther,2,7,Esther,2,7
bible-qna,What relationship did Mordecai take Hadassah (Esther) to be?,his own daughter,1,Esther,2,7,Esther,2,7
bible-qna,Who did Mordecai take as his own daughter?,"Hadassah (Esther, the young woman)",1,Esther,2,7,Esther,2,7
bible-qna,Who had Mordecai brought up?,Hadassah,1,Esther,2,7,Esther,2,7
bible-qna,What did Mordecai take her as?,his own daughter,1,Esther,2,7,Esther,2,7
bible-qna,Who were gathered at Shushan the citadel?,many young women,1,Esther,2,8,Esther,2,8
bible-qna,"Who was also taken to the king's palace, into the care of Hegai the custodian of the women?",Esther,1,Esther,2,8,Esther,2,8
bible-qna,What was Hegai's job?,custodian of the women,1,Esther,2,8,Esther,2,8
bible-qna,Under shose care and custody were many young women gathered at Shushan the citadel?,Hegai's,1,Esther,2,8,Esther,2,8
bible-qna,"Who did Hegai readily give beauty preparations to, besides her allowance?",the young woman Esther,1,Esther,2,8,Esther,2,9
bible-qna,What did the young woman Esther obtain?,Hegai's favor,1,Esther,2,8,Esther,2,9
bible-qna,What were provided to the young woman Esther from the king's palace?,7 choice maidservants,1,Esther,2,8,Esther,2,9
bible-qna,Where were she (Esther) and her maidservants moved?,to the best place in the house of women,1,Esther,2,8,Esther,2,9
bible-qna,Who pleased Hegai and obtained his favor?,the young woman,1,Esther,2,9,Esther,2,9
bible-qna,Who pleased him?,the young woman,1,Esther,2,9,Esther,2,9
bible-qna,What did she obtain?,his favor,1,Esther,2,9,Esther,2,9
bible-qna,What were provided for her?,seven choice maidservents,1,Esther,2,9,Esther,2,9
bible-qna,Why had Esther not revealed her people or her family?,Mordecai had charged her not to reveal it,1,Esther,2,10,Esther,2,10
bible-qna,What had Mordecai charged Esther?,to not reveal her people or family,1,Esther,2,10,Esther,2,10
bible-qna,What did Mordecai do every day?,paced in front of the court of the women's quarters,1,Esther,2,11,Esther,2,11
bible-qna,Who paced in front of the court of the women's quarters every day?,Mordecai,1,Esther,2,11,Esther,2,11
bible-qna,Who wanted to learn about Esther's welfare and what was happening to her?,Mordecai,1,Esther,2,11,Esther,2,11
bible-qna,How often did Mordecai pace in front of the court of the women's quarters?,every day,1,Esther,2,11,Esther,2,11
bible-qna,Each young woman's turn came to go in to King Ahasuerus after she had comleted how much preparation?,12 month,1,Esther,2,12,Esther,2,12
bible-qna,Who was each young woman going to have a turn to go in to?,King Ahasuerus,1,Esther,2,12,Esther,2,12
bible-qna,"Once a young woman had completed 12 months of preparations, where did she go?",to the king,1,Esther,2,12,Esther,2,13
bible-qna,What was the oil of?,myrhh,1,Esther,2,12,Esther,2,12
bible-qna,What was each young woman given to take with her from the women's quarters to the king's palace?,whatever she desired to take with her,1,Esther,2,13,Esther,2,13
bible-qna,To what place was each young woman allowed to take whatever she desired?,the king's palace,1,Esther,2,13,Esther,2,13
bible-qna,Where did the young women go after they had been to the king?,to the second house of the women,1,Esther,2,13,Esther,2,14
bible-qna,What was she given to take with her to the king's palace?,whatever she desired,1,Esther,2,13,Esther,2,13
bible-qna,"To what location was each young woman 
able to take whatever she desired from the womenï¿½s quarters?",to the kingï¿½s palace,1,Esther,2,13,Esther,2,13
bible-qna,Who had custody over the king's concubines?,Shaashgaz,1,Esther,2,14,Esther,2,14
bible-qna,What job did Shaashgaz have?,king's eunuch who kept the concubines,1,Esther,2,14,Esther,2,14
bible-qna,Who could a young woman go in to the king again?,if the king delighted in her and called for her by name,1,Esther,2,14,Esther,2,14
bible-qna,When did she go?,in the evening,1,Esther,2,14,Esther,2,14
bible-qna,When did she return?,in the morning,1,Esther,2,14,Esther,2,14
bible-qna,What did she do in the morning?,She returned,1,Esther,2,14,Esther,2,14
bible-qna,Where did she return to?,the second house of the women,1,Esther,2,14,Esther,2,14
bible-qna,Who was the king's eunuch who kept the concubines?,Shaashgaz,1,Esther,2,14,Esther,2,14
bible-qna,Who was Abihail's daughter?,Esther,1,Esther,2,15,Esther,2,15
bible-qna,Who was Esther's father?,Abihail,1,Esther,2,15,Esther,2,15
bible-qna,Who was Mordecai's uncle?,Abihail,1,Esther,2,15,Esther,2,15
bible-qna,Who was Abihail's nephew?,Mordecai,1,Esther,2,15,Esther,2,15
bible-qna,Who had Mordecai taken as his daughter?,Esther,1,Esther,2,15,Esther,2,15
bible-qna,What did Esther request when it was her turn to go in to the king?,nothing but what Hegai the king's eunuch advised,1,Esther,2,15,Esther,2,15
bible-qna,Who was the custodian of the women?,Hegai the king's eunuch,1,Esther,2,15,Esther,2,15
bible-qna,Which month is Tebeth?,10th month,1,Esther,2,15,Esther,2,15
bible-qna,Who was the uncle of Mordecai?,Abihail,1,Esther,2,15,Esther,2,15
bible-qna,When was Esther taken to King Ahasuerus' palace?,in the 10th month of the 7th year of his reign,1,Esther,2,16,Esther,2,16
bible-qna,What is the name of the 10th month?,Tebeth,1,Esther,2,16,Esther,2,16
bible-qna,Who was taken to King Ahasuerus in the 10th month of the 7th year of his reign?,Esther,1,Esther,2,16,Esther,2,16
bible-qna,Who was Esther taken to?,King Ahasuerus,1,Esther,2,16,Esther,2,16
bible-qna,Who was taken to King Ahasuerus?,Esther,1,Esther,2,16,Esther,2,16
bible-qna,Where was Esther taken in to?,his royal palace,1,Esther,2,16,Esther,2,16
bible-qna,Which is the tenth month?,Tebeth,1,Esther,2,16,Esther,2,16
bible-qna,Which is the month of Tebeth?,the tenth,1,Esther,2,16,Esther,2,16
bible-qna,Which year of his reign was it?,the seventh,1,Esther,2,16,Esther,2,16
bible-qna,Who did the king love more than all the other women?,Esther,1,Esther,2,17,Esther,2,17
bible-qna,"Because the king loved Esther more than all the other women, and she obtained grace and favor in his sight, what did he do?",he set the royal crown upon her head and made her queen instead of Vashti,1,Esther,2,17,Esther,2,17
bible-qna,Who did the king make queen instead of Vashti?,Esther,1,Esther,2,17,Esther,2,17
bible-qna,Who was Esther made queen instead of?,Vashti,1,Esther,2,17,Esther,2,17
bible-qna,What did the king make after he had made Esther queen?,a great feast,1,Esther,2,17,Esther,2,18
bible-qna,Who did the king love Esther more than?,all the other women,1,Esther,2,17,Esther,2,17
bible-qna,What did he set upon her head?,the royal crown,1,Esther,2,17,Esther,2,17
bible-qna,Who did he make her queen instead of?,Vashti,1,Esther,2,17,Esther,2,17
bible-qna,What was the name of the great feast which the king made?,the Feast of Esther,1,Esther,2,18,Esther,2,18
bible-qna,What did the king proclaim when he made the great Feast of Esther?,a holiday in the provinces,1,Esther,2,18,Esther,2,18
bible-qna,Where was the holiday proclaimed?,in the provinces,1,Esther,2,18,Esther,2,18
bible-qna,What did the king give according to the generosity of a king?,givts,1,Esther,2,18,Esther,2,18
bible-qna,How did the king give gifts?,according to the generosity of a king,1,Esther,2,18,Esther,2,18
bible-qna,When did Mordecai sit within the king's gate?,when virgins were gathered together a second time,1,Esther,2,19,Esther,2,19
bible-qna,Who sat within the king's gate?,Mordecai,1,Esther,2,19,Esther,2,19
bible-qna,Who were gathered together a second time?,virgins,1,Esther,2,19,Esther,2,19
bible-qna,Why had Esther not revealed her family and her people?,Mordecai had charged her,1,Esther,2,20,Esther,2,20
bible-qna,What did Esther obey?,the command of Mordecai,1,Esther,2,20,Esther,2,20
bible-qna,"When Esther obeyed the command of Mordecai, what was that obedience like?",when she was brought up by him,1,Esther,2,20,Esther,2,20
bible-qna,What had Mordecai done to her?,charged,1,Esther,2,20,Esther,2,20
bible-qna,What did Esther do to the commandment of Mordecai?,obeyed,1,Esther,2,20,Esther,2,20
bible-qna,How did she obey the command of Mordecai?,as when she was brought up by him,1,Esther,2,20,Esther,2,20
bible-qna,What position or job did Bigthan and Teresh have?,doorkeepers?,1,Esther,2,21,Esther,2,21
bible-qna,What did Bigthan and Teresh seek to do when they became furious?,lay hands on King Ahasuerus,1,Esther,2,21,Esther,2,21
bible-qna,"What was ""the matter"" that became known to Mordecai, who told Queen Esther, and Esther informed the king in Mordecai's name?",Bigthan and Teresh sought to lay hands on King Ahasuerus,1,Esther,2,21,Esther,2,22
bible-qna,Where was the matter of the plot and the outcome written?,the book of the chronicles,1,Esther,2,21,Esther,2,23
bible-qna,What was the occupation of Bigthan and Teresh?,doorkeepers,1,Esther,2,21,Esther,2,21
bible-qna,What did they become?,furious,1,Esther,2,21,Esther,2,21
bible-qna,Who did they seek to lay hands on?,King Ahasuerus,1,Esther,2,21,Esther,2,21
bible-qna,What became known to Mordecai?,"the matter  (remember, the details about the ""plot"" are found only in verse 21)",1,Esther,2,22,Esther,2,22
bible-qna,What did Mordecai tell queen Esther,"the matter (remember, the details about the ""plot"" are found only in verse 21)",1,Esther,2,22,Esther,2,22
bible-qna,"In whose name did Esther inform the king about ""the matter""?",Mordecai's,1,Esther,2,22,Esther,2,22
bible-qna,What became known to Mordecai?,the matter,1,Esther,2,22,Esther,2,22
bible-qna,Who told Queen Esther?,Mordecai,1,Esther,2,22,Esther,2,22
bible-qna,In whose name did Esther inform the king?,Mordecai's,1,Esther,2,22,Esther,2,22
bible-qna,What was made into the matter?,an inquiry :),1,Esther,2,23,Esther,2,23
bible-qna,What was an inquiry made into?,the matter,1,Esther,2,23,Esther,2,23
bible-qna,What was confirmed?,the matter,1,Esther,2,23,Esther,2,23
bible-qna,"When an inquiry was made into the matter and it was confirmed, what happened?",they were hanged on a gallows,1,Esther,2,23,Esther,2,23
bible-qna,In what location was the writing done in the book of the chronicles?,in the presence of the king,1,Esther,2,23,Esther,2,23
bible-qna,What was done in the presence of the king?,the matter was written in the book of the chronicles,1,Esther,2,23,Esther,2,23
bible-qna,What was made into the matter?,inquiry,1,Esther,2,23,Esther,2,23
bible-qna,How many were hanged on a gallows?,both,1,Esther,2,23,Esther,2,23
bible-qna,In whose presence was it written in the book of the chronicles?,the king,1,Esther,2,23,Esther,2,23
bible-qna,Who did King Ahasuerus promote?,Haman,1,Esther,3,1,Esther,3,1
bible-qna,Of what nationality was Hammedatha?,Agagite,1,Esther,3,1,Esther,3,1
bible-qna,Who was Haman's father?,Hammedatha,1,Esther,3,1,Esther,3,1
bible-qna,Who was Hammedatha's son?,Haman,1,Esther,3,1,Esther,3,1
bible-qna,Where did King Ahasuerus set Haman's seat?,above all the princes who were with him,1,Esther,3,1,Esther,3,1
bible-qna,Whose seat was advanced and set above all the princes who were with him?,Haman's,1,Esther,3,1,Esther,3,1
bible-qna,Who would not bow or pay homage to Haman?,Mordecai,1,Esther,3,2,Esther,3,2
bible-qna,Where were the servants who bowed and paid homage to Haman?,within the king's gate,1,Esther,3,2,Esther,3,2
bible-qna,What of the king's commands did Mordecai transgress?,to bow and pay homage to Haman,1,Esther,3,2,Esther,3,3
bible-qna,How often did the king's servants speak to Mordecai about not bowing or paying homage to Haman?,daily,1,Esther,3,2,Esther,3,4
bible-qna,"Who asked Mordecai, ""Why do you transgress the king's command?""",the king's servants,1,Esther,3,3,Esther,3,3
bible-qna,What did the king's servants who were within the king's gate say to Mordecai?,"""Why do you transgress the king's command?""",1,Esther,3,3,Esther,3,3
bible-qna,What did the king's servants do after they had spoken to Mordecai daily and he would not listen to them?,they told it to Haman,1,Esther,3,3,Esther,3,4
bible-qna,Why did the king's servants tell it to Haman?,to see whether Mordecai's words would stand?,1,Esther,3,3,Esther,3,4
bible-qna,What had Mordecai told the king's servants?,that he was a Jew,1,Esther,3,3,Esther,3,4
bible-qna,What would Mordecai not do?,listen to them,1,Esther,3,4,Esther,3,4
bible-qna,What had Mordecai told them?,that he was a Jew,1,Esther,3,4,Esther,3,4
bible-qna,What filled Haman with wrath?,when he saw that Mordecai did not bow or pay him homage,1,Esther,3,5,Esther,3,5
bible-qna,What was Haman's response when he saw that Mordecai did not bow or pay him homage?,he was filled with wrath,1,Esther,3,5,Esther,3,5
bible-qna,What was Haman filled with?,wrath,1,Esther,3,5,Esther,3,5
bible-qna,What did Haman disdain to do?,lay hands on Mordecai alone,1,Esther,3,6,Esther,3,6
bible-qna,What had they (the king's servants) told Haman of?,the people of Mordecai,1,Esther,3,6,Esther,3,6
