book,chapter,verse,endVerse,question,answer,points,source,quality,2To3,bigPoints,people,places,names,numbers
2 Peter,1,17,17,"what did He  receive from God the Father, when such a voice came to Him saying ""This is My beloved Son, in whom I am well pleased.?",Honor and glory,1,Ki Song,3,False,False,False,False,False,False
James,2,11,11,"if you do not commit adultery but you murder, what have you become?",transgressor of the law,1,Ki Song,3,False,False,False,False,False,False
Hebrews,11,17,17,"who is referred to as Abraham's ""only begotten son?",Isaac,1,Ki Song,3,False,False,False,False,False,False
James,1,13,13,"what can God not be tempted by, and does not do to anyone?",(1) Nottempted by evil (2) does not tempt anyone,2,Ki Song,3,True,False,False,False,False,False
1 Peter,4,12,12,"Peter tells us to not think it strange concerning what, which is to try you?",The fiery trial,1,Ki Song,3,False,False,False,False,False,False
Hebrews,5,14,14,"for those who are of full age and who by reason have their senses exercised, what two things can they discern?",Good and evil,1,Ki Song,3,False,False,False,False,False,False
Hebrews,1,7,7,what did He  make His ministers?,flame of fire,1,Ki Song,3,False,False,False,False,False,False
1 Peter,2,1,2,"what are the five characteristics we should lay aside so we may grow, desiring the pure milk of the word?",(1) Malice (2) deceit (3) hypocrisy (4) envy (5) all evil speaking,5,Ki Song,3,False,True,False,False,False,False
Hebrews,3,4,4,who built all things?,God,1,Ki Song,3,False,False,False,False,False,False
Hebrews,2,3,3,who was the first to speak of our great salvation?,Our Lord,1,Ki Song,3,False,False,False,False,False,False
Hebrews,4,12,12,what two things does the word of God discern?,The thoughts and intents of the heart,1,Ki Song,3,False,False,False,False,False,False
Hebrews,5,13,13,One who partakes only of milk is unskilled in what?,The word of righteousness,1,Ki Song,3,False,False,False,False,False,False
James,5,2,2,what condition are your riches and garments?,(1) Riches corrupted (2) garments moth-eaten,2,Ki Song,3,True,False,False,False,False,False
1 Peter,1,6,6,"You greatly rejoice, though now for a little while, if need be, what have you been grieved by? Be sj Oe baer",Various trials,1,Ki Song,3,False,False,False,False,False,False
1 Peter,2,21,21,Christ suffered for us and left us an example. What did Christ want us to do?,Follow His steps,1,Ki Song,3,False,False,False,False,False,False
Hebrews,12,1,1,what two things do we need to lay aside to run the ee Ookg,Every weight and sin,1,Ki Song,3,False,False,False,False,False,False
James,3,3,3,what do we do to make horses obey us and turn their whole body?,Put bits in the horse's mouths,1,Ki Song,3,False,False,False,False,False,False
Hebrews,11,31,31,whom did Rahab receive with peace?,'The spies,1,Ki Song,3,False,False,False,False,False,False
Hebrews,4,15,15,who can sympathize with our weaknesses?,Our High Priest,1,Ki Song,3,False,False,False,False,False,False
1 Peter,3,19,19,where did He  preach to the spirits?,In prison,1,Ki Song,3,False,False,False,False,False,False
Hebrews,10,3,3,in what did Paul say is a reminder of sins every year?,Inthe sacrifices,1,Ki Song,3,False,False,False,False,False,False
James,1,5,6,"if anyone lacks wisdom, how are they to ask of God?",(1) k in faith (2) no doubting,2,Ki Song,3,True,False,False,False,False,False
Hebrews,12,23,23,who is God the judge of?,ll,1,Ki Song,3,False,False,False,False,False,False
Hebrews,5,3,3,what is the High Priest required to do for the people and also for himself?,Offer sacrifices for sins,1,Ki Song,3,False,False,False,False,False,False
James,4,2,2,why do you aXe mm ate hors,You do not ask,1,Ki Song,3,False,False,False,False,False,False
1 Peter,4,16,16,"if anyone suffers as a Christian, let them not be ashamed. What are they to do in this matter?",Glorify God,1,Ki Song,3,False,False,False,False,False,False
Hebrews,6,12,12,what did the writer suggest you do to those who through faith and patience inherit the promises?,Imitate them,1,Ki Song,3,False,False,False,False,False,False
1 Peter,5,14,14,what kind of kiss does Peter ask us to greet one another?,Kiss of love,1,Ki Song,3,False,False,False,False,False,False
2 Peter,2,15,15,who are they  following and who is he the son of?,(1) Balaam (2) son of Beor,2,Ki Song,3,True,False,False,False,False,False
Hebrews,13,20,20,who brought up Jesus from the dead?,The God of peace,1,Ki Song,3,False,False,False,False,False,False
2 Peter,3,8,8,with the Lord one day is as how many years?,one thousand years,1,Ki Song,3,False,False,False,False,False,False
Hebrews,10,35,35,"what should you not cast away, which has great reward?",Your confidence,1,Ki Song,3,False,False,False,False,False,False
James,1,26,26,"a person's religion is useless, though they think they are religious, if they ""don't do"" and ""do"" these two things. What are those two things?",(1) Bridle their tongue (2) deceive their own heart,2,Ki Song,3,True,False,False,False,False,False
Hebrews,3,6,6,We are Christ's house if we hold fast the confidence and rejoicing of the hope for how long?,Tothe end,1,Ki Song,3,False,False,False,False,False,False
2 Peter,2,2,2,what will many follow because of whom the way of truth will be blasphemed?,Destructive ways,1,Ki Song,3,False,False,False,False,False,False
Hebrews,1,1,1,"in various times and ways in the past, how did God speak to the fathers?",By the prophets,1,Ki Song,3,False,False,False,False,False,False
1 Peter,4,8,8,Have fervent love for one another. How many sins will love cover?,multitude,1,Ki Song,3,False,False,False,False,False,False
Hebrews,10,34,34,what did those who had compassion on Paul joytully accept?,'The plundering of their goods,1,Ki Song,3,False,False,False,False,False,False
1 Peter,5,10,10,what does Peter pray the God of all Grace will do after you have suffered a while?,(1) Perfect (2) establish (3) strengthen and settle you,3,Ki Song,3,True,False,False,False,False,False
Hebrews,9,12,12,"with His own blood, having entered the Most Holy Place, what did He  obtain once and for all?",Eternal redemption,1,Ki Song,3,False,False,False,False,False,False
James,5,1,1,what are the rich to do for their miseries that are coming upon them?,Weep and howl,1,Ki Song,3,False,False,False,False,False,False
Hebrews,5,10,10,He  is called by God as High Priest according to the order of whom?,Melchizedek,1,Ki Song,3,False,False,False,False,False,False
Hebrews,6,10,10,"what two things is God not unjust to forget, which you have shown toward His name?",Your work and labor of love,1,Ki Song,3,False,False,False,False,False,False
1 Peter,3,22,22,Peter describes that Jesus Christ has gone into heaven and is at the right hand of God. Who have been made subject to Him?,(1) gels (2) authorities (3) powers,3,Ki Song,3,True,False,False,False,False,False
Hebrews,11,20,20,by faith Isaac blessed Jacob and Esau. What was his blessing concerning?,Things to come,1,Ki Song,3,False,False,False,False,False,False
Hebrews,2,11,11,what is He  not ashamed to call those being sanctified?,Brethren,1,Ki Song,3,False,False,False,False,False,False
James,3,11,11,James questions whether two kinds of water can come from the same opening. What are those types of water?,Fresh water and bitter,1,Ki Song,3,False,False,False,False,False,False
2 Peter,2,19,19,"what do they  promise, though they Malev else) av crwe-U Kom) ca eme) mee) uu bn ou le) ERs",Promise liberty,1,Ki Song,3,False,False,False,False,False,False
1 Peter,2,4,4,what was rejected by men but chosen by God and precious?,living stone,1,Ki Song,3,False,False,False,False,False,False
Hebrews,4,4,4,from what did God rest on the seventh day?,ll His works,1,Ki Song,3,False,False,False,False,False,False
Hebrews,9,2,2,"what was in the first part of the tabernacle, which is called the sanctuary?",(1) The lampstand (2) the table (3) and the showbread,3,Ki Song,3,True,False,False,False,False,False
Hebrews,1,8,8,how did He  describe the scepter of His Son's kingdom?,cepter of righteousness,1,Ki Song,3,False,False,False,False,False,False
2 Peter,3,14,14,"Peter tells us, the beloved, to be diligent to be found by Him in peace. What will be our condition?",Without spot and blameless,1,Ki Song,3,False,False,False,False,False,False
Hebrews,3,7,9,"how long did the fathers test, try and see the works of the Holy Spirit?",40 years,1,Ki Song,3,False,False,False,False,False,False
James,2,5,5,"God has chosen the poor of this world who love Him, to benefit in what two ways?",(1) Rich in faith (2) heirs of the kingdom,2,Ki Song,3,True,False,False,False,False,False
Hebrews,4,12,12,what is the word of God sharper than?,y two-edged sword,1,Ki Song,3,False,False,False,False,False,False
1 Peter,4,5,5,They  will give an account to Him who is ready to judge svg alo) eats,The living and the dead,1,Ki Song,3,False,False,False,False,False,False
Hebrews,11,32,32,"in addition to the prophets, who else did the author say he did not have time to tell of?",(1) Gideon (2) Barak (3) Samson (4) Jephthah (5) David (6) & Samuel,6,Ki Song,3,False,True,False,False,False,False
James,4,3,3,"why is it that you ask, but you do not receive?",You ask amiss,1,Ki Song,3,False,False,False,False,False,False
1 Peter,1,6,7,Rejoice though the genuineness of your faith is tested by fire. How is it found at the revelation of Jesus Christ?,(1) Found to praise (2) honor and glory,2,Ki Song,3,True,False,False,False,False,False
James,5,18,18,He  prayed and the heaven gave rain. What did the earth produce.,It's fruit,1,Ki Song,3,False,False,False,False,False,False
Hebrews,8,8,8,the days are coming when I  will make a new covenant with the house of what two groups?,Israel and Judah,1,Ki Song,3,False,False,False,False,False,False
1 Peter,4,17,17,where has it come time for judgment to begin?,t the house of God,1,Ki Song,3,False,False,False,False,False,False
2 Peter,2,12,12,"what are these  made to be, who speak evil of the things they do not understand?",(1) Caught (2) destroyed,2,Ki Song,3,True,False,False,False,False,False
Hebrews,2,17,17,what kind of a High Priest is He  in things pertaining to God?,Merciful and faithful,1,Ki Song,3,False,False,False,False,False,False
James,2,22,22,"by his  works, what happened to his eve ens",Made perfect,1,Ki Song,3,False,False,False,False,False,False
Hebrews,13,9,9,by what is it good the heart be established by?,Grace,1,Ki Song,3,False,False,False,False,False,False
Hebrews,6,15,15,"after he  had patiently endured, what did he obtain?",The promise,1,Ki Song,3,False,False,False,False,False,False
James,1,15,15,when does sin bring forth death?,When it is full-grown,1,Ki Song,3,False,False,False,False,False,False
1 Peter,3,9,9,what may we inherit if we give a blessing rather than return evil for evil or reviling for reviling?,Inherit a blessing,1,Ki Song,3,False,False,False,False,False,False
James,1,22,22,"what are we to be and not to be with the word, deceiving ourselves?",(1) Doers (2) not hearers only,2,Ki Song,3,True,False,False,False,False,False
James,3,7,7,what four things does James say is and has been tamed by mankind?,(1) Every kind of beast (2) bird (3) reptile (4) creature of the sea,4,Ki Song,3,False,True,False,False,False,False
2 Peter,1,14,14,"Peter knows that shortly he must put off his tent, just as who showed him?",Lord Jesus Christ,1,Ki Song,3,False,False,False,False,False,False
Hebrews,12,12,12,what two body parts need to be strengthened?,(1) Hands that hang down (2) feeble knees,2,Ki Song,3,True,False,False,False,False,False
James,5,9,9,"do not grumble against one another, brethren, lest you be condemned. Where is the judge? Be sj oer baton",The Judge is standing at the door,1,Ki Song,3,False,False,False,False,False,False
Hebrews,6,4,5,"what four things have those who were once enlightened, tasted or been partakers of?",(1) The heavenly gift (2) the Holy Spirit (3) the good word of God (4) and the powers of the age to come,4,Ki Song,3,False,True,False,False,False,False
Hebrews,5,7,7,with what did He  offer up prayers and supplications?,Cries and tears,1,Ki Song,3,False,False,False,False,False,False
James,4,15,15,"œIf the Lord wills, we shall live. What shall we do?",This or that,1,Ki Song,3,False,False,False,False,False,False
2 Peter,3,5,7,the heavens and the earth are now preserved by the word of God and are reserved for fire until when?,Day of judgment and perdition,1,Ki Song,3,False,False,False,False,False,False
Hebrews,8,13,13,"what is the first covenant, which is becoming obsolete and growing old, ready to do?",Vanish away,1,Ki Song,3,False,False,False,False,False,False
1 Peter,1,4,4,"how is the inheritance described, that is reserved in heaven for you?",(1) Incorruptible (2) undefiled (3) does not fade away,3,Ki Song,3,True,False,False,False,False,False
Hebrews,4,10,10,what has the one who has entered His rest done?,Ceased from his works,1,Ki Song,3,False,False,False,False,False,False
Hebrews,5,1,4,how does one become a High Priest?,He is called by God,1,Ki Song,3,False,False,False,False,False,False
2 Peter,2,6,6,what cities were turned into ashes and condemned to destruction?,(1) Sodom (2) Gomorrah,2,Ki Song,3,True,False,False,False,False,False
Hebrews,9,19,19,"when Moses had spoken to the people according to the law, what did he use to sprinkle the book and all the people?",(1) 'The blood of calves and goats (2) water (3) scarlet wool (4) and hyssop,4,Ki Song,3,False,True,False,False,False,False
1 Peter,5,2,2,"in Peter's instructions, what does he say to do with the flock which is among you, serving as overseers?",Shepherd the flock,1,Ki Song,3,False,False,False,False,False,False
Hebrews,9,7,7,for whose sins did the high priest offer the sacrifice of blood?,Himself and for the people,1,Ki Song,3,False,False,False,False,False,False
1 Peter,1,23,23,"of what kind of seed have we been born again, through the word of God?",Incorruptible,1,Ki Song,3,False,False,False,False,False,False
Hebrews,7,27,27,the regular high priests offer daily sacrifices for whose sins?,His own sins and the people's,1,Ki Song,3,False,False,False,False,False,False
Hebrews,1,13,13,"Fill in the blank. œSit at My right hand, Till I make Your enemies Your",Footstool,1,Ki Song,3,False,False,False,False,False,False
Hebrews,3,16,16,"what did all those who came out of Egypt, do after they heard?",They rebelled,1,Ki Song,3,False,False,False,False,False,False
Hebrews,10,1,1,"when can the sacrifices offered continually by year, make those who approach perfect?",Never,1,Ki Song,3,False,False,False,False,False,False
Hebrews,1,3,3,"before He  sat down at the right hand of the Majesty on high, what had He done by Himself?",Purged our sins,1,Ki Song,3,False,False,False,False,False,False
Hebrews,2,7,7,"Though man was made a little lower than the angels, what two things has God crowned him with?",Glory & honor,1,Ki Song,3,False,False,False,False,False,False
1 Peter,2,25,25,Peter tells us we were like sheep going astray. Who have we been returned to?,(1) Shepherd (2) Overseer of your souls,2,Ki Song,3,True,False,False,False,False,False
Hebrews,3,1,2,whose faithfulness was compared to that of Christ Jesus?,Moses,1,Ki Song,3,False,False,False,False,False,False
Hebrews,7,1,2,"Returning from the slaughter of the kings, what part of all did Abraham give to Melchizedek?",tenth,1,Ki Song,3,False,False,False,False,False,False
Hebrews,11,11,11,by faith what did Sarah receive to conceive seed?,Strength,1,Ki Song,3,False,False,False,False,False,False
1 Peter,5,7,7,why should you cast all your care upon Him?,He cares for you,1,Ki Song,3,False,False,False,False,False,False
James,5,7,7,"the brethren should be patient, as the farmer waits for the precious fruit of the earth. How long does the farmer wait for the fruit?",Until it receives the early and FVuneyapesbee!,1,Ki Song,3,False,False,False,False,False,False
2 Peter,2,16,16,Balaam was rebuked for his iniquity. What spoke with a man's voice restraining the madness of the prophet?,dumb donkey,1,Ki Song,3,False,False,False,False,False,False
1 Peter,2,7,8,what became of the stone the builders rejected?,(1) Became chief cornerstone (2) a stone of stumbling and a rock of offense,2,Ki Song,3,True,False,False,False,False,False
Hebrews,8,11,11,"who will none of them teach saying, œKnow the Lord?",Neighbor and brother,1,Ki Song,3,False,False,False,False,False,False
1 Peter,3,18,18,Christ suffered once for sins that He might bring us to God. He was put to death in the flesh. How was He made alive?,By the Spirit,1,Ki Song,3,False,False,False,False,False,False
2 Peter,1,3,3,His  divine power has given to us all things that pertain to what two areas?,(1) Life (2) godliness,2,Ki Song,3,True,False,False,False,False,False
1 Peter,2,2,2,"as newborn babes, what should we desire, that we may grow thereby?",Pure milk of the word,1,Ki Song,3,False,False,False,False,False,False
Hebrews,8,6,6,what is He  a Mediator of?,better covenant,1,Ki Song,3,False,False,False,False,False,False
Hebrews,4,16,16,what two things may we obtain from God's throne?,Mercy and grace,1,Ki Song,3,False,False,False,False,False,False
Hebrews,6,19,20,who is the forerunner who has entered behind the veil for us?,Jesus,1,Ki Song,3,False,False,False,False,False,False
James,4,14,14,a life is like a vapor. How is that vapor described?,(1) It appears for a little time (2) then vanishes away,2,Ki Song,3,True,False,False,False,False,False
Hebrews,2,4,4,what four ways did God bear witness according to fe Otmen ie iyl les,(1) Signs (2) wonders (3) miracles (4) and gifts of the Holy Spirit,4,Ki Song,3,False,True,False,False,False,False
James,1,3,3,what does the testing of your faith produce?,Patience,1,Ki Song,3,False,False,False,False,False,False
Hebrews,3,14,14,"if we hold the beginning of our confidence steadfast to the end, we will become partakers of whom?",Christ,1,Ki Song,3,False,False,False,False,False,False
1 Peter,4,7,7,"the end of all things is at hand therefore, how should we be in our prayers?",Serious and watchful,1,Ki Song,3,False,False,False,False,False,False
James,2,2,2,"if there should come in a man with gold rings and fine apparel, how is the other person described who comes in and what are they wearing?",(1) Poor man (2) filthy clothes,2,Ki Song,3,True,False,False,False,False,False
Hebrews,13,9,9,with what various and strange things are we not kom omg nomic mn Amisl ee ts,Doctrines,1,Ki Song,3,False,False,False,False,False,False
Hebrews,5,12,12,what does the writer state you ought to be by this ubeaters,'Teachers,1,Ki Song,3,False,False,False,False,False,False
Hebrews,10,38,38,what Shall the just live by?,Faith,1,Ki Song,3,False,False,False,False,False,False
1 Peter,1,1,1,"Peter, an apostle of Jesus Christ, writes this letter to the pilgrims of the Dispersion in what five locations?",(1) Pontus (2) Galatia (3) Cappadocia (4) Asia (5) Bithynia,5,Ki Song,3,False,True,False,False,False,False
2 Peter,1,18,18,where were they when they heard the voice from heaven when with Him?,On the holy mountain,1,Ki Song,3,False,False,False,False,False,False
Hebrews,11,4,4,who offered God a more excellent sacrifice than Cain?,bel,1,Ki Song,3,False,False,False,False,False,False
Hebrews,2,12,12,where will œI sing praise to You?,In the midst of the assembly,1,Ki Song,3,False,False,False,False,False,False
James,5,4,4,the cries of the reapers have reached the ears of whom?,The Lord of the Sabaoth,1,Ki Song,3,False,False,False,False,False,False
Hebrews,11,12,12,what two things are compared to the number born from one man?,(1) Stars of the sky (2) and sand by the seashore,2,Ki Song,3,True,False,False,False,False,False
Hebrews,4,3,3,what do we who believed enter into?,His rest,1,Ki Song,3,False,False,False,False,False,False
1 Peter,3,1,1,"Peter says husbands may be won, without a word, by the conduct of whom?",Their wives,1,Ki Song,3,False,False,False,False,False,False
1 Peter,4,19,19,"who are to commit their souls to Him  in doing good, as to a faithful Creator?",'Those who suffer according to the will of God,1,Ki Song,3,False,False,False,False,False,False
2 Peter,3,5,6,"by the word of God, how did the world that then existed, perish?",Flooded with water,1,Ki Song,3,False,False,False,False,False,False
1 Peter,1,21,21,what did God do to Him  so that our faith and hope are in God?,(1) Raised Him from the dead (2) gave Him glory,2,Ki Song,3,True,False,False,False,False,False
James,3,17,17,how is the wisdom from above described?,(1) Pure (2) peaceable (3) gentle (4) willing to yield (5) full of mercy and good fruits (6) without partiality (7) without hypocrisy,7,Ki Song,3,False,True,False,False,False,False
2 Peter,3,3,3,"when will scoffers come, walking according to their own lusts?",The last days,1,Ki Song,3,False,False,False,False,False,False
Hebrews,9,21,21,"in addition to sprinkling blood on the book and all the people, what else did Moses sprinkle with blood?",The tabernacle and all the vessels of the ministry,1,Ki Song,3,False,False,False,False,False,False
Hebrews,1,1,2,how had God spoken in these last days?,By His Son,1,Ki Song,3,False,False,False,False,False,False
2 Peter,2,1,1,what will the false prophets and false teachers secretly bring in?,Destructive heresies,1,Ki Song,3,False,False,False,False,False,False
Hebrews,6,1,2,Paul talks about moving on to perfection from the discussion of elementary principles of Christ. What four doctrines did he refer to in Verse 2?,(1) Baptisms (2) laying on of hands (3) resurrection of the dead (4) and eternal judgment,4,Ki Song,3,False,True,False,False,False,False
Hebrews,2,18,18,why is He  able to aid those who are tempted?,(1) Because He has suffered (2) being tempted,2,Ki Song,3,True,False,False,False,False,False
James,5,15,15,what kind of prayer will save the sick?,Prayer of faith,1,Ki Song,3,False,False,False,False,False,False
Hebrews,9,4,4,what is inside the ark of the covenant?,(1) golden pot that had manna (2) Aaron's rod that budded (3) and the tablets of the covenant,3,Ki Song,3,True,False,False,False,False,False
Hebrews,2,10,10,whom did He  bring to glory?,Many sons,1,Ki Song,3,False,False,False,False,False,False
1 Peter,4,11,11,"if anyone speaks, how are they to speak?",the oracles of God,1,Ki Song,3,False,False,False,False,False,False
Hebrews,7,21,21,what has the Lord sworn and will not do?,Relent,1,Ki Song,3,False,False,False,False,False,False
Hebrews,11,21,21,what was Jacob leaning on when he blessed the sons of Joseph?,'The top of his staff,1,Ki Song,3,False,False,False,False,False,False
1 Peter,1,18,18,with what corruptible things are we not redeemed?,Gold or silver,1,Ki Song,3,False,False,False,False,False,False
Hebrews,3,7,8,"who says, œDo not harden your hearts as in the rebellion?",The Holy Spirit,1,Ki Song,3,False,False,False,False,False,False
James,2,25,25,Give the full name and description of the person who was also justified by works.,(1) Rahab (2) the harlot,2,Ki Song,3,True,False,False,False,False,False
Hebrews,6,13,13,"when God made a promise to Abraham, whom did He swear by?",Himself,1,Ki Song,3,False,False,False,False,False,False
2 Peter,2,10,10,how are they described who walk according to the lust of uncleanness and despise PLvu slew lated,(1) Presumptuous (2) self-willed (3) not afraid to speak evil of dignitaries,3,Ki Song,3,True,False,False,False,False,False
2 Peter,3,15,15,who also OtACMi's@ Lake) om Uer-NumuelcmleyarcaUUNKcoMbercmeymOlens Lord is salvation besides Peter?,Paul,1,Ki Song,3,False,False,False,False,False,False
James,3,9,9,what two things does James say we do with the tongue?,(1) Bless our God and Father (2) curse men,2,Ki Song,3,True,False,False,False,False,False
Hebrews,4,7,7,"Today, what should you not do if you hear His  voice?",Harden your heart,1,Ki Song,3,False,False,False,False,False,False
Hebrews,7,9,9,"through whom, so to speak, did Levi pay tithes?",braham,1,Ki Song,3,False,False,False,False,False,False
James,4,9,9,what does James say we should let our laughter and joy be turned to?,(1) Laughter to mourning (2) joy to gloom,2,Ki Song,3,True,False,False,False,False,False
Hebrews,8,13,13,what has the new covenant done to the first covenant?,Made it obsolete,1,Ki Song,3,False,False,False,False,False,False
1 Peter,2,23,23,"He  was reviled but did not revile in return, when He suffered, did not threaten. To whom did He commit Himself?",Him who judges righteously,1,Ki Song,3,False,False,False,False,False,False
Hebrews,12,14,14,what two things are we to pursue?,Peace with all people and holiness,1,Ki Song,3,False,False,False,False,False,False
1 Peter,5,5,5,who are to submit themselves to the elders?,Younger people,1,Ki Song,3,False,False,False,False,False,False
Hebrews,12,2,2,who is the author and finisher of our faith?,Jesus,1,Ki Song,3,False,False,False,False,False,False
Hebrews,5,1,1,what two things was the high priest to offer for sins?,Gifts and sacrifices,1,Ki Song,3,False,False,False,False,False,False
James,1,23,24,"the man who is a hearer but not a doer of the word observes his face in mirror. After he observes himself and goes away, what happens?",Forgets what kind of man he was,1,Ki Song,3,False,False,False,False,False,False
1 Peter,2,17,17,Peter tells us to honor all people. Whom are we to love?,Love the brotherhood,1,Ki Song,3,False,False,False,False,False,False
1 Kings,1,33,34,where was Solomon anointed as king?,Gihon,1,Ki Song,3,False,False,False,False,False,False
1 Kings,10,28,28,from where did Solomon import horses?,Egypt and Keveh,1,Ki Song,3,False,False,False,False,False,False
1 Kings,5,3,3,why couldn't David build a house for the Lord his God?,Because of the wars which were fought against him,1,Ki Song,3,False,False,False,False,False,False
Ruth,2,11,11,"Boaz said it was reported to him that on behalf of her mother-in-law, what three things did Ruth leave?",(1) Father (2) mother (3) land of your birth,3,Ki Song,3,True,False,False,False,False,False
1 Kings,2,7,7,why did David ask that kindness be shown to the sons of Barzillai?,'They helped David when he fled from Absalom,1,Ki Song,3,False,False,False,False,False,False
1 Kings,21,22,22,Elijah said the Lord would make Ahab's house like which two other houses for provoking God to anger and making Israel sin?,(1) Jeroboam''s (2) Baasha's (3),3,Ki Song,3,True,False,False,False,False,False
1 Kings,13,7,7,what two things did the king ask the man of God to do and then the king would give the man of God a reward?,(1) Come home (2) refresh yourself,2,Ki Song,3,True,False,False,False,False,False
1 Kings,14,6,6,"when Jeroboam's wife came through Ahijah's door, he invited her in and told her he had been sent with what kind of news?",Bad news,1,Ki Song,3,False,False,False,False,False,False
Ruth,3,11,11,Boaz told Ruth he would do as she requested. What did Boaz say all his town knew about Ruth?,She was a virtuous woman,1,Ki Song,3,False,False,False,False,False,False
1 Kings,21,4,4,what did Ahab do when he went into his house after Naboth declined his offer for the vineyard?,(1) Lay down on his bed (2) turned away his face (3) would eat no food,3,Ki Song,3,True,False,False,False,False,False
Ruth,1,8,8,Naomi asked Ruth and Orpah to return each to her mother's house. She also asked that the Lord deal kindly as they dealt with whom?,The dead and me,1,Ki Song,3,False,False,False,False,False,False
1 Kings,8,61,61,Solomon prayed that their  hearts be loyal to God to do what two things? Be sj Oe baer,Walkin His statutes and keep His commandments,1,Ki Song,3,False,False,False,False,False,False
1 Kings,15,5,5,David did what was right in the eyes of the Lord and did not turn aside from anything the Lord commanded except in what matter?,Uriah the Hittite,1,Ki Song,3,False,False,False,False,False,False
Ruth,2,8,8,Boaz instructed Ruth to not glean in any other field. Where was she to stay when gleaning?,Close to his young women,1,Ki Song,3,False,False,False,False,False,False
1 Kings,5,17,18,what three groups quarried the stones for the foundation of the temple?,(1) Solomon's builders (2) Hiram's builders (3) and the Gebalites,3,Ki Song,3,True,False,False,False,False,False
1 Kings,17,11,11,"after Elijah asked the widow woman for a cup of water, what did he also ask for.",Morsel of bread,1,Ki Song,3,False,False,False,False,False,False
1 Kings,22,35,35,"when the king was wounded, he was propped up in his chariot, but he died. Where did his blood run out from his wound?",The floor of the chariot,1,Ki Song,3,False,False,False,False,False,False
1 Kings,3,12,13,"Besides a wise and understanding heart, what else did God give Solomon?",Riches and honor,1,Ki Song,3,False,False,False,False,False,False
1 Kings,20,13,13,"who approached Ahab, assuring him the great multitude of Syria would be delivered into Ahab's hand that day?",prophet,1,Ki Song,3,False,False,False,False,False,False
1 Kings,20,36,36,"because the neighbor of the man who was of the sons of the prophets did not obey the voice of the Lord, what happened to the neighbor?",lion killed him,1,Ki Song,3,False,False,False,False,False,False
1 Kings,19,5,5,"after Elijah slept under the broom tree, an angel touched him. What did the angel tell him to do?",ise and eat,1,Ki Song,3,False,False,False,False,False,False
1 Kings,9,28,28,how much gold was acquired in Ophir and brought to King Solomon?,420 talents,1,Ki Song,3,False,False,False,False,False,False
1 Kings,5,8,8,what two types of logs did Hiram agree to send to Solomon?,Cedar and Cypress,1,Ki Song,3,False,False,False,False,False,False
1 Kings,12,1,1,where did Rehoboam go for Israel to make him king?,Shechem,1,Ki Song,3,False,False,False,False,False,False
